Participant;Acceloremeters;Sample Numbers;Excel Hour
PMP1002;PI;15327199;10:40:49
PMP1003;C;15547554;17:21:56
PMP1003;M;15554737;17:21:56
PMP1006;C;15506625;10:28:29
PMP1006;PI;15508766;10:28:29
PMP1006;M;15519942;10:28:29
PMP1013;PI;15487012;13:57:45
PMP1013;M;15809976;13:57:45
PMP1014;M;16231136;18:26:07
PMP1018;C;14683240;17:45:00
PMP1017;C;15445516;16:55:10
PMP1017;PI;15439628;16:55:10
PMP1017;M;15430368;16:55:10
PMP1019;C;15450599;17:15:07
PMP1019;PI;15457507;17:15:07
PMP1019;M;15448359;17:15:07
PMP1020;C;13266625;10:05:10
PMP1020;PI;13261111;10:05:10
PMP1020;M;13249296;10:05:10
PMP1021;C;13917630;17:37:45
PMP1021;PI;13896975;17:37:45
PMP1021;M;13895363;17:37:45
PMP1023;M;13043785;09:24:11
PMP1024;C;15799825;13:01:30
PMP1024;PI;15778742;13:01:30
PMP1024;M;15670044;13:01:30
PMP1025;C;15502730;10:22:14
PMP1025;PI;14626462;10:22:14
PMP1025;M;15483389;10:22:14
PMP1026;C;13289339;08:59:37
PMP1026;PI;13269755;08:59:37
PMP1026;M;13275668;08:59:37
PMP1027;C;13115425;09:47:40
PMP1027;PI;13111608;09:47:40
PMP1027;M;13092791;09:47:40
PMP1029;C;14876392;18:25:48
PMP1029;PI;15643090;18:25:48
PMP1029;M;15631180;18:25:48
PMP1030;M;15439100;12:48:00
PMP1030;PI;15457985;12:48:00
PMP1031;M;15846211;13:40:50
PMP1032;C;14508097;10:18:27
PMP1032;PI;15503354;10:18:27
PMP1032;M;15472018;10:18:27
PMP1033;PI;16160140;17:40:00
PMP1033;M;16110020;17:40:00
PMP1033;C;16152180;17:40:00
PMP1034;PI;15490218;17:00:47
PMP1034;M;15490780;16:54:37
PMP1034;C;15492336;16:57:27
PMP1035;M;15465319;17:01:15
PMP1035;C;15466529;17:01:15
PMP1036;C;13384148;11:00:40
PMP1036;PI;13379343;11:00:40
PMP1036;M;13365171;11:00:40
PMP1037;PI;15511705;11:48:30
PMP1037;M;14349820;11:48:30
PMP1037;C;15518594;11:48:30
PMP1038;C;15600100;12:18:00
PMP1038;PI;15544668;12:18:00
PMP1038;M;15586828;12:18:00
PMP1039;C;15539496;16:08:00
PMP1039;PI;15525870;16:08:00
PMP1039;M;15531670;16:08:00
PMP1041;PI;15298297;15:58:53
PMP1041;M;15288030;15:58:53
PMP1041;C;15303527;15:58:53
PMP1043;C;15544246;11:35:52
PMP1043;PI;15541721;11:35:52
PMP1043;M;15536637;11:35:52
PMP1044;PI;15491019;16:54:47
PMP1044;C;15496399;16:54:47
PMP1044;M;15492499;16:54:47
PMP1048;C;15526058;17:27:53
PMP1048;PI;15491902;17:27:53
PMP1048;M;15507402;17:27:53
PMP1050;PI;12012445;12:34:11
PMP1050;M;13344545;12:34:11
PMP1050;C;12591189;12:34:11
PMP1052;PI;15313546;17:57:00
PMP1052;M;15311248;17:57:00
PMP1052;C;15321696;17:57:00
PMP1063;C;15536775;10:34:25
PMP1063;PI;15532273;10:34:25
PMP1072;PI;15548963;10:38:35
PMP1072;M;15516121;10:38:35
PMP1072;C;15551948;10:38:35
PMP1078;C;14821987;11:54:22
PMP1082;PI;15589114;11:39:48
PMP1082;C;15595633;11:39:48
PMP1088;C;17912511;21:09:04
PMP1088;PI;17906881;21:09:04
PMP1093;C;15518424;16:37:47
PMP1093;PI;15522277;16:37:47
PMP1093;M;15510827;16:37:47
PMP1094;C;15547462;11:04:37
PMP1094;PI;15543226;11:04:37
PMP1094;M;15529816;11:04:37
